2025-02-10 17:09:47,373 - INFO - Logging to another terminal in Windows!
2025-02-10 17:09:56,556 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,606 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,657 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,706 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,756 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,805 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,856 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,906 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:56,956 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,007 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,056 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,106 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,156 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,206 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,256 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,305 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,356 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,406 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,456 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,505 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,557 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,606 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,656 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,706 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,757 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,805 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,855 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,915 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:57,965 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:58,016 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:58,066 - INFO - Current min lip height: 0.0, max lip height: 37.50413567394478
2025-02-10 17:09:59,160 - INFO - Transcription: 
2025-02-10 17:10:07,470 - INFO - Transcription: zaten att\u0131m. Onunla atar\u0131m. Ayn\u0131 de\u011fil ama. Yollar filan patl\u0131yor.

